trade_id,side,entry_id,level_snapshot,trend_mode_at_entry,exit_reason,horizon_bars,horizon_minutes,available,close_at_h,close_ret_pct_at_h,profitable_at_h,adverse_at_h,flat_at_h,max_favorable_pct_to_h,max_adverse_pct_to_h,min_close_ret_pct_to_h,max_close_ret_pct_to_h,ended_profit,ended_loss,pnl_abs,pnl_pct
213,long,Long1,1,0,MFEProtect L1,4,60,True,54759.22,-0.08360544942581649,False,True,False,0.6333541586686199,0.2238480256560351,-0.08360544942581649,0.3746370771739338,True,False,5.03808375830002,0.2727303912194889
213,long,Long1,1,0,MFEProtect L1,8,120,True,55141.31,0.6135749558799697,True,False,False,0.8984940071205098,0.295629745001562,-0.08360544942581649,0.6135749558799697,True,False,5.03808375830002,0.2727303912194889
213,long,Long1,1,0,MFEProtect L1,12,180,False,,,,,,,,,,True,False,5.03808375830002,0.2727303912194889
213,long,Long1,1,0,MFEProtect L1,24,360,False,,,,,,,,,,True,False,5.03808375830002,0.2727303912194889
213,long,Long1,1,0,MFEProtect L1,48,720,False,,,,,,,,,,True,False,5.03808375830002,0.2727303912194889
213,long,Long1,1,0,MFEProtect L1,96,1440,False,,,,,,,,,,True,False,5.03808375830002,0.2727303912194889
213,long,Long1,1,0,MFEProtect L1,192,2880,False,,,,,,,,,,True,False,5.03808375830002,0.2727303912194889
214,short,Short2,2,0,MFEProtect S2,1,15,True,57983.15,-0.10109696072082563,False,True,False,0.2575935367000425,0.1558232867940922,-0.10109696072082563,-0.10109696072082563,False,True,-20.149075692501064,-0.4367236308427058
214,short,Short2,2,0,MFEProtect S2,2,30,True,57809.81,0.1981541863308789,True,False,False,0.43031810842337387,0.5704140504058872,-0.10109696072082563,0.1981541863308789,False,True,-20.149075692501064,-0.4367236308427058
214,short,Short2,2,0,MFEProtect S2,4,60,True,57266.73,1.1357180085348806,True,False,False,2.114110777478091,0.5704140504058872,-0.10109696072082563,1.1357180085348806,False,True,-20.149075692501064,-0.4367236308427058
214,short,Short2,2,0,MFEProtect S2,8,120,False,,,,,,,,,,False,True,-20.149075692501064,-0.4367236308427058
214,short,Short2,2,0,MFEProtect S2,12,180,False,,,,,,,,,,False,True,-20.149075692501064,-0.4367236308427058
214,short,Short2,2,0,MFEProtect S2,24,360,False,,,,,,,,,,False,True,-20.149075692501064,-0.4367236308427058
214,short,Short2,2,0,MFEProtect S2,48,720,False,,,,,,,,,,False,True,-20.149075692501064,-0.4367236308427058
214,short,Short2,2,0,MFEProtect S2,96,1440,False,,,,,,,,,,False,True,-20.149075692501064,-0.4367236308427058
214,short,Short2,2,0,MFEProtect S2,192,2880,False,,,,,,,,,,False,True,-20.149075692501064,-0.4367236308427058
215,short,Short1,1,0,OutsideStop Short1,1,15,True,57154.01,-0.5029896442584558,False,True,False,0.08083636535645841,0.6153551814844144,-0.5029896442584558,-0.5029896442584558,False,True,-109.62951151126106,-4.860899897111592
215,short,Short1,1,0,OutsideStop Short1,2,30,True,57620.74,-1.323715265376979,False,True,False,0.08083636535645841,1.351182396698879,-1.323715265376979,-0.5029896442584558,False,True,-109.62951151126106,-4.860899897111592
215,short,Short1,1,0,OutsideStop Short1,4,60,True,57364.0,-0.8722484730859792,False,True,False,0.08083636535645841,1.351182396698879,-1.323715265376979,-0.5029896442584558,False,True,-109.62951151126106,-4.860899897111592
215,short,Short1,1,0,OutsideStop Short1,8,120,True,57049.74,-0.3196351127005226,False,True,False,0.08083636535645841,1.351182396698879,-1.323715265376979,-0.3196351127005226,False,True,-109.62951151126106,-4.860899897111592
215,short,Short1,1,0,OutsideStop Short1,12,180,True,56765.34,0.18047065861503953,True,False,False,0.3472956745246929,1.351182396698879,-1.323715265376979,0.18047065861503953,False,True,-109.62951151126106,-4.860899897111592
215,short,Short1,1,0,OutsideStop Short1,24,360,True,57193.49,-0.5724136099811483,False,True,False,0.3472956745246929,1.351182396698879,-1.323715265376979,0.18047065861503953,False,True,-109.62951151126106,-4.860899897111592
215,short,Short1,1,0,OutsideStop Short1,48,720,True,57266.73,-0.701203155308705,False,True,False,0.3472956745246929,2.8452747653907737,-2.0773556713911123,0.18047065861503953,False,True,-109.62951151126106,-4.860899897111592
215,short,Short1,1,0,OutsideStop Short1,96,1440,False,,,,,,,,,,False,True,-109.62951151126106,-4.860899897111592
215,short,Short1,1,0,OutsideStop Short1,192,2880,False,,,,,,,,,,False,True,-109.62951151126106,-4.860899897111592
216,short,Short1,1,0,OutsideStop Short1,1,15,True,59736.07,-0.1818451979652469,False,True,False,0.17716615985472411,0.26138884584397537,-0.1818451979652469,-0.1818451979652469,True,False,3.028108620986796,0.3248446148428341
216,short,Short1,1,0,OutsideStop Short1,2,30,True,59414.51,0.35743490770386854,True,False,False,0.6541429444465736,0.26138884584397537,-0.1818451979652469,0.35743490770386854,True,False,3.028108620986796,0.3248446148428341
216,short,Short1,1,0,OutsideStop Short1,4,60,False,,,,,,,,,,True,False,3.028108620986796,0.3248446148428341
216,short,Short1,1,0,OutsideStop Short1,8,120,False,,,,,,,,,,True,False,3.028108620986796,0.3248446148428341
216,short,Short1,1,0,OutsideStop Short1,12,180,False,,,,,,,,,,True,False,3.028108620986796,0.3248446148428341
216,short,Short1,1,0,OutsideStop Short1,24,360,False,,,,,,,,,,True,False,3.028108620986796,0.3248446148428341
216,short,Short1,1,0,OutsideStop Short1,48,720,False,,,,,,,,,,True,False,3.028108620986796,0.3248446148428341
216,short,Short1,1,0,OutsideStop Short1,96,1440,False,,,,,,,,,,True,False,3.028108620986796,0.3248446148428341
216,short,Short1,1,0,OutsideStop Short1,192,2880,False,,,,,,,,,,True,False,3.028108620986796,0.3248446148428341
217,long,TrendLong,0,1,Reverse to RevShort,1,15,True,61000.0,0.4801634038067215,True,False,False,0.6429412685208821,0.14376899445711694,0.4801634038067215,0.4801634038067215,True,False,277.44416343068866,2.674205424281606
217,long,TrendLong,0,1,Reverse to RevShort,2,30,True,61138.52,0.7083357355230246,True,False,False,1.0049663556174153,0.14376899445711694,0.4801634038067215,0.7083357355230246,True,False,277.44416343068866,2.674205424281606
217,long,TrendLong,0,1,Reverse to RevShort,4,60,False,,,,,,,,,,True,False,277.44416343068866,2.674205424281606
217,long,TrendLong,0,1,Reverse to RevShort,8,120,False,,,,,,,,,,True,False,277.44416343068866,2.674205424281606
217,long,TrendLong,0,1,Reverse to RevShort,12,180,False,,,,,,,,,,True,False,277.44416343068866,2.674205424281606
217,long,TrendLong,0,1,Reverse to RevShort,24,360,False,,,,,,,,,,True,False,277.44416343068866,2.674205424281606
217,long,TrendLong,0,1,Reverse to RevShort,48,720,False,,,,,,,,,,True,False,277.44416343068866,2.674205424281606
217,long,TrendLong,0,1,Reverse to RevShort,96,1440,False,,,,,,,,,,True,False,277.44416343068866,2.674205424281606
217,long,TrendLong,0,1,Reverse to RevShort,192,2880,False,,,,,,,,,,True,False,277.44416343068866,2.674205424281606
218,short,RevShort,0,-2,Reverse TP Channel,1,15,True,62349.99,-0.028909723212655614,False,True,False,0.39653808470997826,0.6628540699098685,-0.028909723212655614,-0.028909723212655614,True,False,370.7932372831621,3.593373344517148
218,short,RevShort,0,-2,Reverse TP Channel,2,30,True,61958.56,0.5990665785150062,True,False,False,0.7302512659234102,0.6628540699098685,-0.028909723212655614,0.5990665785150062,True,False,370.7932372831621,3.593373344517148
218,short,RevShort,0,-2,Reverse TP Channel,4,60,True,61685.99,1.036354217586899,True,False,False,1.2012294814362516,0.6628540699098685,-0.028909723212655614,1.036354217586899,True,False,370.7932372831621,3.593373344517148
218,short,RevShort,0,-2,Reverse TP Channel,8,120,True,61214.0,1.7935739877947054,True,False,False,1.99740197526246,0.6628540699098685,-0.028909723212655614,1.7935739877947054,True,False,370.7932372831621,3.593373344517148
