trade_id,side,entry_id,level_snapshot,trend_mode_at_entry,exit_reason,entry_time,exit_time,entry_price,exit_price,bars_held,hold_minutes,pnl_abs,pnl_pct,ended_profit,ended_loss,mfe_abs_trade,mae_abs_trade,mfe_pct_trade,mae_pct_trade,max_favorable_pct_path,max_adverse_pct_path,bar_of_max_favorable,bar_of_max_adverse,minutes_to_max_favorable,minutes_to_max_adverse,first_move,first_adverse_bar,first_favorable_bar,first_material_adverse_bar,first_material_favorable_bar,first_adverse_minutes,first_favorable_minutes,first_material_adverse_minutes,first_material_favorable_minutes,underwater_bars,underwater_minutes,underwater_ratio,max_consecutive_underwater_bars,max_consecutive_underwater_minutes,avg_underwater_close_pct
11,long,Long1,1,0,MFEProtect L1,2024-01-22 10:00:00,2024-01-22 13:30:00,40792.13,40879.56,14,210,3.4150060150940083,0.2143305583699684,True,False,451.9300000000003,-427.5,1.107885271006933,-1.0479962679075596,1.107885271006933,1.0479962679075596,11,0,180,15,same_bar,0,0.0,0.0,11.0,15,15.0,15.0,180.0,6,90,0.42857142857142855,3,45,-0.35299292616818484
12,long,Long1,1,0,MFEProtect L1,2024-01-22 19:45:00,2024-01-22 21:30:00,39820.34,39929.19,7,105,2.2733243466699933,0.2733527639392497,True,False,522.8400000000038,-69.19999999999709,1.31299732749646,-0.1737805352741767,1.31299732749646,0.1737805352741767,1,0,30,15,same_bar,0,0.0,,0.0,15,15.0,,15.0,0,0,0.0,0,0,0.0
13,long,Long1,1,0,MFEProtect L1,2024-01-23 07:45:00,2024-01-24 01:30:00,39780.03,39875.73,71,1065,1.959742251250012,0.240572970910291,True,False,469.9700000000012,-1225.0299999999988,1.1814219345737074,-3.0795099953418807,1.1814219345737074,3.0795099953418807,67,25,1020,390,same_bar,0,0.0,1.0,66.0,15,15.0,30.0,1005.0,62,930,0.8732394366197183,61,915,-1.5527883649644152
14,long,Long2,2,0,TP L2,2024-01-23 19:00:00,2024-01-26 14:45:00,39156.21,41587.97,271,4065,236.2301295520036,6.21040698269828,True,False,2431.790000000001,-124.19000000000231,6.210483598897853,-0.3171655275114786,6.210483598897853,0.3171655275114786,270,6,4065,105,same_bar,0,0.0,,6.0,15,15.0,,105.0,2,30,0.007380073800738007,1,15,-0.044999247884303095
15,short,Short1,1,0,MFEProtect S1,2024-01-26 17:45:00,2024-01-27 10:00:00,41915.130000000005,41799.03,65,975,2.3675284040934663,0.2777576417443361,True,False,520.7900000000081,-331.68999999999505,1.2424869015078996,-0.7913371615452345,1.2424869015078996,0.7913371615452345,60,8,915,135,same_bar,0,0.0,0.0,51.0,15,15.0,15.0,780.0,16,240,0.24615384615384617,16,240,-0.2810455914129206
16,short,Short2,2,0,MFEProtect S2,2024-01-26 22:00:00,2024-01-27 10:00:00,41838.9,41799.03,48,720,2.3308027884659994,0.0953849885990232,True,False,444.56000000000495,-154.80999999999767,1.0625518357318309,-0.3700145080296032,1.0625518357318307,0.37001450802960323,43,2,660,45,same_bar,0,0.0,,36.0,15,15.0,,555.0,15,225,0.3125,6,90,-0.06403291354855216
17,short,Short2,2,0,MFEProtect S2,2024-01-28 05:15:00,2024-01-28 08:30:00,42668.87,42597.46,13,195,5.154236381852649,0.167639103364392,True,False,375.2099999999991,-5.419999999998254,0.8793530271600797,-0.0127024690365558,0.8793530271600797,0.012702469036555815,5,0,90,15,same_bar,0,0.0,,1.0,15,15.0,,30.0,0,0,0.0,0,0,0.0
18,short,Short1,1,0,Exit S1,2024-01-27 19:45:00,2024-01-28 20:00:00,41910.44,41785.94,97,1455,2.5654924854040324,0.2979471085250207,True,False,219.34000000000376,-932.239999999998,0.5233540855214208,-2.224362235280751,0.5233540855214208,2.224362235280751,96,37,1455,570,adverse,0,92.0,6.0,96.0,15,1395.0,105.0,1455.0,94,1410,0.9690721649484536,94,1410,-0.9056784652874829
19,short,Short1,1,0,MFEProtect S1,2024-01-29 02:30:00,2024-01-29 15:45:00,42252.11,42641.78,53,795,-18.843931937805262,-0.9138220777837992,False,True,447.2300000000032,-395.1599999999962,1.0584796830264884,-0.9352432340065294,1.0584796830264884,0.9352432340065294,48,52,735,795,same_bar,0,0.0,2.0,20.0,15,15.0,45.0,315.0,14,210,0.2641509433962264,5,75,-0.24714234896873982
20,short,Short1,1,0,NoProgress S1,2024-01-29 19:15:00,2024-01-30 19:15:00,43031.77,43431.93,96,1440,-9.478468696623708,-0.9213497995599008,False,True,53.4800000000032,-850.5899999999965,0.1242802701353051,-1.9766558521761863,0.12428027013528825,1.9766558521762032,1,67,30,1020,same_bar,0,0.0,8.0,,15,15.0,135.0,,94,1410,0.9791666666666666,92,1380,-0.7750016206482324
21,short,Short1,1,0,MFEProtect S1,2024-01-30 20:30:00,2024-01-31 17:30:00,43685.71,43556.69,84,1260,2.542461408696382,0.2962116726500596,True,False,1330.7099999999991,-8.440000000002328,3.046099056190226,-0.0193198187691177,3.046099056190226,0.0193198187691177,57,3,870,60,same_bar,0,0.0,,7.0,15,15.0,,120.0,0,0,0.0,0,0,0.0
22,long,Long1,1,0,TP L1,2024-02-01 01:30:00,2024-02-07 20:00:00,42056.42,43837.7,650,9750,82.29525431230711,4.2354532316350335,True,False,1817.050000000003,-166.47000000000116,4.320505644560338,-0.3958254173797987,4.320505644560338,0.39582541737979876,649,11,9750,180,same_bar,0,0.0,,23.0,15,15.0,,360.0,7,105,0.010769230769230769,3,45,-0.07980436076787825
23,short,Short1,1,0,NoProgress S1,2024-02-08 00:00:00,2024-02-09 00:00:00,44343.97,45338.1,96,1440,-22.52113104238844,-2.192703267229989,False,True,0.0,-1270.3300000000015,0.0,-2.8647186979424752,0.0,2.8647186979424752,0,80,15,1215,adverse,0,,0.0,,15,,15.0,,96,1440,1.0,96,1440,-1.27517948513255
24,short,Short2,2,0,OutsideStop Short2,2024-02-08 14:15:00,2024-02-09 08:30:00,45045.19,46435.98,73,1095,-123.32988728853051,-2.9950697713281627,False,True,177.1800000000003,-1439.7999999999956,0.393338334237241,-3.1963457141594818,0.393338334237241,3.1963457141594818,0,71,15,1080,same_bar,0,0.0,3.0,,15,15.0,60.0,,69,1035,0.9452054794520548,59,885,-1.302868763890053
25,short,Short3,3,0,OutsideStop Short3,2024-02-09 03:15:00,2024-02-09 08:30:00,46061.2,46435.98,21,315,-33.21649847914288,-0.8070896748598622,False,True,206.2000000000044,-423.7899999999936,0.4476652801056081,-0.9200585308241938,0.4476652801055923,0.9200585308242097,3,19,60,300,same_bar,0,0.0,14.0,,15,15.0,225.0,,15,225,0.7142857142857143,14,210,-0.405039382386921
26,short,Short1,1,0,OutsideStop Short1,2024-02-09 12:15:00,2024-02-09 13:00:00,47259.97,47386.05,3,45,-2.938262194181936,-0.2660698665535421,False,True,82.93000000000029,-248.02999999999884,0.1754762011063491,-0.5248204770337325,0.17547620110634918,0.5248204770337325,0,0,15,15,same_bar,0,0.0,0.0,,15,15.0,15.0,,3,45,1.0,3,45,-0.2759135620836443
27,long,TrendLong,0,1,MFEProtect TrendLong,2024-02-09 13:45:00,2024-02-09 18:45:00,47465.99,47601.97,20,300,24.28127881356683,0.2864788030334964,True,False,734.010000000002,-813.989999999998,1.5463914267879002,-1.7148910198649558,1.5463914267879002,1.7148910198649558,17,1,270,30,same_bar,0,0.0,1.0,0.0,15,15.0,30.0,15.0,12,180,0.6,12,180,-0.583709163831477
28,short,Short1,1,0,NoProgress S1,2024-02-10 19:45:00,2024-02-11 19:45:00,47531.06,48284.03,96,1440,-15.7514581450195,-1.5594597219826145,False,True,76.68999999999505,-1061.6000000000058,0.161347127541433,-2.2334869030903284,0.16134712754143302,2.2334869030903284,0,32,15,495,same_bar,0,0.0,2.0,,15,15.0,45.0,,95,1425,0.9895833333333334,95,1425,-1.1696378392526847
29,short,Short2,2,0,NoProgress S2,2024-02-10 23:00:00,2024-02-11 23:00:00,47818.77,48047.86,96,1440,-20.01751027020464,-0.4767954285580966,False,True,261.6100000000006,-773.8899999999994,0.5470864265224734,-1.618381233979877,0.5470864265224582,1.6183812339798926,8,19,135,300,same_bar,0,0.0,16.0,8.0,15,15.0,255.0,135.0,82,1230,0.8541666666666666,81,1215,-0.7902443370066248
30,short,Short1,1,0,MFEProtect S1,2024-02-12 00:30:00,2024-02-12 14:30:00,48645.97,48556.32,56,840,1.4362741117646012,0.1846309605011198,True,False,935.9599999999992,-14.0199999999968,1.92402371666142,-0.0288204757763013,1.9240237166614196,0.0288204757763013,37,0,570,15,same_bar,0,0.0,,1.0,15,15.0,,30.0,0,0,0.0,0,0,0.0
31,short,Short1,1,0,MFEProtect S1,2024-02-12 17:30:00,2024-02-12 20:00:00,49884.11,49862.07,10,150,0.0793784061241874,0.0442019354591538,True,False,384.1100000000006,-159.88999999999942,0.7700047169329083,-0.3205229079961523,0.7700047169329083,0.3205229079961523,8,0,135,15,same_bar,0,0.0,,8.0,15,15.0,,135.0,1,15,0.1,1,15,-0.14760211217559327
32,short,Short2,2,0,MFEProtect S2,2024-02-12 17:30:00,2024-02-12 20:00:00,49884.11,49862.07,10,150,0.3175021749180775,0.0442019354591538,True,False,384.1100000000006,-159.88999999999942,0.7700047169329083,-0.3205229079961523,0.7700047169329083,0.3205229079961523,8,0,135,15,same_bar,0,0.0,,8.0,15,15.0,,135.0,1,15,0.1,1,15,-0.14760211217559327
33,short,Short1,1,0,MFEProtect S1,2024-02-13 21:30:00,2024-02-14 05:15:00,49618.09,49491.26,31,465,4.2538914583059695,0.2562674702563772,True,False,393.08000000000175,-156.90999999999622,0.7922110665686682,-0.3162354697651526,0.7922110665686537,0.3162354697651673,27,8,420,135,same_bar,0,0.0,,2.0,15,15.0,,45.0,1,15,0.03225806451612903,1,15,-0.16425460955873383
34,short,Short1,1,0,MFEProtect S1,2024-02-14 10:00:00,2024-02-14 11:15:00,51491.06,51396.05,5,75,1.4389604455502027,0.1848585640336297,True,False,506.2599999999948,-68.94000000000233,0.9831998020627168,-0.1338873194686657,0.9831998020627168,0.1338873194686657,3,0,60,15,same_bar,0,0.0,,3.0,15,15.0,,60.0,0,0,0.0,0,0,0.0
35,short,Short1,1,0,MFEProtect S1,2024-02-14 14:15:00,2024-02-14 15:15:00,51669.44,51844.01,4,60,-3.6222252261005754,-0.3367216386232496,False,True,393.2000000000044,-374.2699999999968,0.760991410009484,-0.7243546668978739,0.760991410009484,0.7243546668978739,3,0,60,15,adverse,0,2.0,0.0,3.0,15,45.0,15.0,60.0,3,45,0.75,2,30,-0.32391164551683155
36,short,Short1,1,0,MFEProtect S1,2024-02-15 00:45:00,2024-02-15 02:30:00,52321.17,52178.61,7,105,2.290371192674191,0.2732154037832668,True,False,603.5899999999965,-29.93000000000029,1.153624813818186,-0.0572043782660064,1.153624813818186,0.05720437826600646,2,0,45,15,same_bar,0,0.0,,0.0,15,15.0,,15.0,0,0,0.0,0,0,0.0
37,short,Short1,1,0,MFEProtect S1,2024-02-15 10:45:00,2024-02-15 16:15:00,52286.67,52271.04,22,330,-0.0590342936091473,0.0299018347444279,False,True,565.3600000000006,-529.9500000000044,1.0812698532914806,-1.0135470474597148,1.0812698532914806,1.0135470474597148,18,15,285,240,same_bar,0,0.0,14.0,18.0,15,15.0,225.0,285.0,9,135,0.4090909090909091,4,60,-0.26498999543181045
38,short,Short2,2,0,MFEProtect S2,2024-02-15 10:45:00,2024-02-15 16:15:00,52286.67,52271.04,22,330,-0.2361286599545879,0.0299018347444279,False,True,565.3600000000006,-529.9500000000044,1.0812698532914806,-1.0135470474597148,1.0812698532914806,1.0135470474597148,18,15,285,240,same_bar,0,0.0,14.0,18.0,15,15.0,225.0,285.0,9,135,0.4090909090909091,4,60,-0.26498999543181045
39,short,Short1,1,0,MFEProtect S1,2024-02-16 03:45:00,2024-02-16 10:45:00,52280.22,52300.03,28,420,-0.7155186520604153,-0.0378776073359787,False,True,714.2200000000012,-63.05999999999767,1.3661380919973198,-0.1206192322832567,1.3661380919973198,0.12061923228325677,20,0,315,15,same_bar,0,0.0,,7.0,15,15.0,,120.0,1,15,0.03571428571428571,1,15,-0.03783457682464686
40,long,Long1,1,0,TP L1,2024-02-17 14:45:00,2024-02-20 13:30:00,50841.12,52874.64,283,4245,76.71412398462405,3.999754529404553,True,False,2143.8800000000047,-198.2699999999968,4.21682291814186,-0.3899796070582175,4.216822918141845,0.38997960705823176,282,0,4245,15,same_bar,0,0.0,,2.0,15,15.0,,45.0,3,45,0.01060070671378092,2,30,-0.07806673023726211
41,long,Long1,1,0,MFEProtect L1,2024-02-21 15:00:00,2024-02-21 17:30:00,50949.11,50945.97,10,150,-0.8226823632549051,-0.0061630124647882,False,True,478.3199999999997,-29.110000000000586,0.9388191471843172,-0.0571354435828232,0.9388191471843172,0.05713544358282329,7,9,120,150,same_bar,0,0.0,,0.0,15,15.0,,15.0,1,15,0.1,1,15,-0.0061041301800957015
42,short,Short1,1,0,OutsideStop Short1,2024-02-26 16:15:00,2024-02-26 20:00:00,53256.59,54547.61,15,225,-24.007158477233368,-2.3667764728830365,False,True,166.50000000000728,-1653.4099999999962,0.3126373656293189,-3.104611091322212,0.3126373656293052,3.1046110913222265,0,14,15,225,same_bar,0,0.0,6.0,,15,15.0,105.0,,14,210,0.9333333333333333,11,165,-0.9595754119014112
43,short,Short1,1,0,OutsideStop Short1,2024-02-26 23:00:00,2024-02-27 01:30:00,54554.53,55100.04,10,150,-10.083765558196651,-0.9900355789215444,False,True,115.11000000000058,-725.3600000000006,0.2109998931344484,-1.3296054424811294,0.2109998931344484,1.3296054424811294,2,9,45,150,same_bar,0,0.0,9.0,,15,15.0,150.0,,6,90,0.6,4,60,-0.28680783551186345
44,long,TrendLong,0,1,Reverse to RevShort,2024-02-27 02:00:00,2024-02-27 02:15:00,56355.16,56356.77,1,15,-3.221666652349637,0.0028568812509899,False,True,212.83000000000172,-176.7199999999939,0.3776584078547585,-0.3135826426541844,0.37765840785474564,0.31358264265419733,0,0,15,15,same_bar,0,0.0,,,15,15.0,,,0,0,0.0,0,0,0.0
45,short,RevShort,0,-2,Reverse Stop,2024-02-27 02:15:00,2024-02-28 12:15:00,56356.77,59176.49,136,2040,-489.844567419611,-4.76493283058862,False,True,839.3300000000017,-3137.2899999999936,1.4893153032013753,-5.566837843971529,1.4893153032013626,5.566837843971542,5,132,90,1995,same_bar,0,0.0,28.0,0.0,15,15.0,435.0,15.0,115,1725,0.8455882352941176,109,1635,-1.5967019617588374
46,long,TrendLong,0,1,Reverse to RevShort,2024-02-28 15:15:00,2024-02-28 16:30:00,61117.85,61674.98,5,75,80.69790221949755,0.9115667517754612,True,False,675.6800000000003,-322.8600000000006,1.1055362713184451,-0.5282581111737416,1.1055362713184451,0.5282581111737416,4,0,75,15,same_bar,0,0.0,0.0,3.0,15,15.0,15.0,60.0,3,45,0.6,3,45,-0.2514431817654983
47,short,RevShort,0,-2,MFEProtect RevShort,2024-02-28 16:30:00,2024-03-01 04:45:00,61674.98,61524.12,145,2175,19.410167407966583,0.2452046449425093,True,False,2974.980000000003,-2325.019999999997,4.823641612855007,-3.7697944936504175,4.823641612855007,3.7697944936504184,3,2,60,45,same_bar,0,0.0,0.0,2.0,15,15.0,15.0,45.0,67,1005,0.46206896551724136,53,795,-1.4088884046513528
48,short,Short1,1,0,MFEProtect S1,2024-03-01 09:30:00,2024-03-01 14:30:00,62057.94,61889.59,20,300,2.192186340071483,0.2720166671002388,True,False,532.2799999999988,-619.1199999999953,0.8577145809222783,-0.9976483267088714,0.8577145809222783,0.9976483267088714,19,14,300,225,same_bar,0,0.0,11.0,19.0,15,15.0,180.0,300.0,12,180,0.6,9,135,-0.4196306978070237
49,short,Short2,2,0,MFEProtect S2,2024-03-01 09:30:00,2024-03-01 14:30:00,62057.94,61889.59,20,300,8.768429261707778,0.2720166671002388,True,False,532.2799999999988,-619.1199999999953,0.8577145809222783,-0.9976483267088714,0.8577145809222783,0.9976483267088714,19,14,300,225,same_bar,0,0.0,11.0,19.0,15,15.0,180.0,300.0,12,180,0.6,9,135,-0.4196306978070237
50,short,Short1,1,0,Exit S1,2024-03-01 21:00:00,2024-03-03 12:15:00,62721.73,62533.62472,157,2355,2.4613403006654924,0.300806615388538,True,False,1401.7300000000032,-147.64999999999418,2.234839504586374,-0.2354048588902031,2.234839504586374,0.2354048588902031,137,0,2070,15,same_bar,0,0.0,,4.0,15,15.0,,75.0,1,15,0.006369426751592357,1,15,-0.06675517400427378
51,short,Short1,1,0,MFEProtect S1,2024-03-03 22:30:00,2024-03-04 00:45:00,63072.09,63459.33,9,135,-12.125881215509365,-0.6102175992088177,False,True,772.0900000000038,-1196.1499999999942,1.224138917863676,-1.8964806779036405,1.2241389178636646,1.896480677903652,8,7,135,120,same_bar,0,0.0,6.0,0.0,15,15.0,105.0,15.0,5,75,0.5555555555555556,5,75,-0.7589759590969747
52,short,Short2,2,0,MFEProtect S2,2024-03-04 11:00:00,2024-03-04 14:00:00,65035.56,65224.93,12,180,-12.171989978665056,-0.2903337726847699,False,True,501.8899999999994,-610.5500000000029,0.7717162733741347,-0.9387940997202192,0.7717162733741347,0.9387940997202191,11,9,180,150,same_bar,0,0.0,7.0,11.0,15,15.0,120.0,180.0,8,120,0.6666666666666666,6,90,-0.3154408911063472
53,short,Short1,1,0,OutsideStop Short1,2024-03-04 07:45:00,2024-03-04 15:00:00,64066.59,66303.2,29,435,-32.85630721049017,-3.3733062657609225,False,True,66.4800000000032,-2315.5999999999985,0.1037670336442179,-3.614364366825203,0.10376703364420664,3.6143643668252143,0,27,15,420,same_bar,0,0.0,0.0,,15,15.0,15.0,,29,435,1.0,29,435,-1.8330275981007769
54,short,Short1,1,0,MFEProtect S1,2024-03-04 18:00:00,2024-03-04 18:45:00,66691.06,66617.6,3,45,0.6873973755993248,0.1102711595734273,True,False,591.0599999999977,-193.24000000000524,0.8862657153747409,-0.2897539790190848,0.8862657153747409,0.2897539790190848,1,0,30,15,same_bar,0,0.0,,0.0,15,15.0,,15.0,0,0,0.0,0,0,0.0
55,long,TrendLong,0,1,MFEProtect TrendLong,2024-03-04 22:45:00,2024-03-05 00:45:00,67929.14,68033.98,8,120,10.95975817016264,0.1543372991325897,True,False,569.8600000000006,-480.2200000000012,0.8389035986617829,-0.7069425580833221,0.8389035986617829,0.7069425580833221,0,2,15,45,same_bar,0,0.0,2.0,0.0,15,15.0,45.0,15.0,2,30,0.25,2,30,-0.10328409869460597
56,long,TrendLong,0,1,Breakout Stop,2024-03-05 03:45:00,2024-03-05 09:45:00,68113.97,66407.86,24,360,-235.53454210421947,-2.504787197105085,False,True,270.56999999999243,-3024.970000000001,0.3972312875023911,-4.441041977145072,0.3972312875023911,4.441041977145072,0,4,15,75,same_bar,0,0.0,1.0,,15,15.0,30.0,,24,360,1.0,24,360,-1.7767372097089609
57,short,Short1,1,0,MFEProtect S1,2024-03-05 13:15:00,2024-03-05 15:00:00,67649.79000000001,68317.17,7,105,-9.241234460819737,-0.9768847275143157,False,True,549.7900000000081,-1350.209999999992,0.8127002315897922,-1.9958820271282316,0.8127002315897922,1.9958820271282314,6,6,105,105,same_bar,0,0.0,4.0,3.0,15,15.0,75.0,60.0,5,75,0.7142857142857143,3,45,-0.8072988844458973
58,short,Short1,1,0,MFEProtect S1,2024-03-06 06:00:00,2024-03-06 07:00:00,66305.11,66174.44,4,60,1.4543287573032009,0.1974629479297496,True,False,805.1100000000006,-50.52999999999884,1.2142503043883053,-0.0762083043071625,1.2142503043883053,0.07620830430716251,3,0,60,15,same_bar,0,0.0,,0.0,15,15.0,,15.0,0,0,0.0,0,0,0.0
59,short,Short1,1,0,MFEProtect S1,2024-03-06 11:30:00,2024-03-06 14:00:00,67046.73,66853.72,10,150,2.274377322919795,0.2887049516466566,True,False,2381.8099999999977,-545.5800000000017,3.55246258840662,-0.8137309604808494,3.55246258840662,0.8137309604808494,4,1,75,30,same_bar,0,0.0,1.0,3.0,15,15.0,30.0,60.0,2,30,0.2,2,30,-0.25195859663850184
60,short,Short1,1,0,MFEProtect S1,2024-03-07 14:30:00,2024-03-07 14:45:00,67195.99,67025.01,1,15,3.946009372589847,0.2550988056547965,True,False,654.8899999999994,-9.14999999999418,0.9745968472225788,-0.0136168839836933,0.9745968472225789,0.013616883983693342,0,0,15,15,same_bar,0,0.0,,0.0,15,15.0,,15.0,0,0,0.0,0,0,0.0
61,short,Short1,1,0,MFEProtect S1,2024-03-07 17:45:00,2024-03-07 22:00:00,67592.89,67430.02,17,255,3.70365264405414,0.2415393025243073,True,False,531.7899999999936,-321.8500000000058,0.786754346500044,-0.4761595487336106,0.786754346500044,0.4761595487336106,12,11,195,180,same_bar,0,0.0,,5.0,15,15.0,,90.0,6,90,0.35294117647058826,3,45,-0.14349142343225893
62,short,Short1,1,0,MFEProtect S1,2024-03-08 14:00:00,2024-03-08 15:30:00,67752.74,68224.02,6,90,-13.223461800591362,-0.6907830995593667,False,True,602.7400000000052,-2237.2599999999948,0.8896171579186395,-3.3020952362959703,0.8896171579186395,3.3020952362959703,5,5,90,90,same_bar,0,0.0,1.0,5.0,15,15.0,30.0,90.0,6,90,1.0,6,90,-1.1538180350098421
63,short,Short1,1,0,Exit S1,2024-03-08 20:15:00,2024-03-10 01:00:00,69008.38,68801.41477,115,1725,2.381612963647628,0.3008153694104676,True,False,1200.800000000003,-233.61999999999531,1.7400785237966792,-0.3385385948778907,1.7400785237966792,0.3385385948778907,5,1,90,30,same_bar,0,0.0,,3.0,15,15.0,,60.0,2,30,0.017391304347826087,2,30,-0.09038757321937485
64,short,Short1,1,0,MFEProtect S1,2024-03-10 01:15:00,2024-03-10 23:15:00,68887.97,68766.36,88,1320,2.537091578266673,0.1768451900027834,True,False,793.2200000000012,-999.6399999999994,1.1514637461373898,-1.451109678511356,1.1514637461373898,1.451109678511356,85,35,1290,540,same_bar,0,0.0,10.0,84.0,15,15.0,165.0,1275.0,81,1215,0.9204545454545454,77,1155,-0.7170810703125542
65,short,Short3,3,0,MFEProtect S3,2024-03-11 15:15:00,2024-03-11 16:00:00,72421.07,72316.95999999999,3,45,3.863997545069393,0.1439634630659547,True,False,625.7800000000134,-240.02999999999884,0.8640855485841528,-0.3314366937688145,0.8640855485841528,0.33143669376881457,2,0,45,15,same_bar,0,0.0,,1.0,15,15.0,,30.0,0,0,0.0,0,0,0.0
66,short,Short1,1,0,NoProgress S1,2024-03-11 08:30:00,2024-03-12 08:30:00,71208.08,71681.13,96,1440,-6.322190243577715,-0.6599365830309956,False,True,126.0,-1591.9199999999985,0.1769462117220405,-2.2355889949567493,0.17694621172204053,2.2355889949567493,0,42,15,645,same_bar,0,0.0,2.0,,15,15.0,45.0,,95,1425,0.9895833333333334,95,1425,-1.2214490561360867
67,short,Short2,2,0,NoProgress S2,2024-03-11 11:45:00,2024-03-12 11:45:00,71487.17,72023.85,96,1440,-28.397143848579752,-0.7451420605813275,False,True,186.16999999999825,-1312.8300000000015,0.2604243530692266,-1.836455408711804,0.2604243530692266,1.8364554087118037,64,29,975,450,same_bar,0,0.0,1.0,,15,15.0,30.0,,96,1440,1.0,96,1440,-0.8741628334613564
