group,trade_count,win_rate,loss_rate,avg_pnl_abs,median_pnl_abs,avg_pnl_pct,median_pnl_pct,avg_bars_held,median_bars_held,avg_hold_hours,avg_underwater_hours,median_underwater_hours,avg_underwater_ratio,avg_max_consecutive_underwater_hours,avg_max_adverse_pct,median_max_adverse_pct,avg_max_favorable_pct,median_max_favorable_pct,first_move_adverse_rate,first_move_favorable_rate,material_adverse_0p5_rate,material_favorable_0p5_rate,avg_minutes_to_max_adverse,avg_minutes_to_max_favorable,side,entry_id,level_snapshot,exit_reason
,1,1.0,0.0,14.490265675715804,14.490265675715804,0.2999329736658618,0.2999329736658618,132.0,132.0,33.0,0.0,0.0,0.0,0.0,0.3501788540114266,0.3501788540114266,4.667727740346956,4.667727740346956,0.0,0.0,0.0,1.0,15.0,585.0,,,,Exit L3
,26,1.0,0.0,4.569398970616634,4.240670261390701,0.295580484915468,0.3008154789909345,178.6153846153846,139.5,44.65384615384615,5.5673076923076925,1.625,0.18554803539194836,4.240384615384616,0.8157265477554255,0.6921138379713698,2.4817231865110054,2.5999524642887373,0.23076923076923078,0.0,0.6153846153846154,0.9615384615384616,288.46153846153845,1516.7307692307693,,,,Exit S1
,6,0.8333333333333334,0.16666666666666666,11.288740464607026,13.082110025742015,0.22840201239869481,0.30081996295796554,173.33333333333334,106.5,43.333333333333336,9.375,9.0,0.36022116375947194,4.125,0.7034744549091796,0.7900318084533495,1.7686560210946922,1.7977986726387218,0.16666666666666666,0.0,0.6666666666666666,1.0,200.0,980.0,,,,Exit S2
,1,1.0,0.0,13.521375404905063,13.521375404905063,0.300829893699972,0.300829893699972,140.0,140.0,35.0,0.25,0.25,0.007142857142857143,0.25,0.11567713285980813,0.11567713285980813,5.205930062874,5.205930062874,0.0,0.0,0.0,1.0,2100.0,1005.0,,,,Exit S3
,1,0.0,1.0,-30.230771013056064,-30.230771013056064,-0.7010434704571078,-0.7010434704571078,12.0,12.0,3.0,3.0,3.0,1.0,3.0,1.3070507617979765,1.3070507617979765,0.0,0.0,1.0,0.0,1.0,0.0,60.0,15.0,,,,Force Close End
,133,0.7669172932330827,0.23308270676691728,1.453137042605408,2.642444052474528,0.10515152621306124,0.1929972100312094,36.1203007518797,28.0,9.030075187969924,2.3289473684210527,0.5,0.21913212097340787,1.8233082706766917,0.6797858895848037,0.44463793013391667,1.334074162248827,1.089237505905322,0.03007518796992481,0.0,0.46616541353383456,1.0,162.18045112781954,405.1127819548872,,,,MFEProtect L1
,31,0.6129032258064516,0.3870967741935484,-0.410926489966261,6.239228131346135,0.03342677364759743,0.1366882285547932,36.38709677419355,31.0,9.096774193548386,2.1370967741935485,0.5,0.18807956112838373,1.4596774193548387,0.8238121823766661,0.5422192072871151,1.637080624911344,1.2479927378964448,0.03225806451612903,0.0,0.6129032258064516,1.0,228.38709677419354,387.0967741935484,,,,MFEProtect L2
,8,0.875,0.125,5.130743810698153,7.793778370143291,0.10921484901346976,0.2150754666685239,21.5,12.0,5.375,0.78125,0.625,0.1464080459770115,0.71875,0.5575099033811375,0.5988275122857067,1.2904229392591828,1.23954762345913,0.125,0.0,0.625,1.0,136.875,234.375,,,,MFEProtect L3
,3,0.6666666666666666,0.3333333333333333,-9.316828128014611,16.814843116883562,-0.025768469651140342,0.1758071073937328,140.33333333333334,140.0,35.083333333333336,22.083333333333332,24.0,0.6321742490099488,15.416666666666666,3.228221848398953,3.2061020349640854,3.1758828796734186,2.379925368929679,0.0,0.0,1.0,1.0,575.0,455.0,,,,MFEProtect RevShort
,139,0.7841726618705036,0.2158273381294964,1.50406788915266,2.309945820128638,0.111719893592845,0.1918195277695877,35.32374100719424,29.0,8.83093525179856,2.5611510791366907,0.75,0.24985341615420234,1.7805755395683454,0.6790672088282367,0.44229932881692785,1.3100006095210726,1.091214650544274,0.03597122302158273,0.0,0.4460431654676259,1.0,180.6474820143885,396.36690647482015,,,,MFEProtect S1
